ID;Class;Number;Age;Strategy;State;Spawnsite;Leaving_feed;geometry;
4;YoY;711;275;S;Feeding;20;NA;c(X = 29.61934517; Y = 44.87832484)
6;YoY;838;275;S;Feeding;16;NA;c(X = 29.61934517; Y = 44.87832484)
8;YoY;977;275;S;Feeding;6;NA;c(X = 29.61934517; Y = 44.87832484)
17;YoY;811;275;S;Feeding;9;NA;c(X = 29.61934517; Y = 44.87832484)
29;YoY;675;275;S;Feeding;1;NA;c(X = 29.61934517; Y = 44.87832484)
34;YoY;1012;275;W;Feeding;5;NA;c(X = 29.61934517; Y = 44.87832484)
37;YoY;897;275;S;Feeding;12;NA;c(X = 29.61934517; Y = 44.87832484)
38;YoY;1125;275;W;Feeding;3;NA;c(X = 29.61934517; Y = 44.87832484)
40;YoY;851;275;S;Feeding;2;NA;c(X = 29.61934517; Y = 44.87832484)
43;YoY;825;275;W;Feeding;21;NA;c(X = 29.61934517; Y = 44.87832484)
44;YoY;799;275;S;Feeding;23;NA;c(X = 29.61934517; Y = 44.87832484)
45;YoY;850;275;S;Feeding;4;NA;c(X = 29.61934517; Y = 44.87832484)
48;YoY;917;275;S;Feeding;21;NA;c(X = 29.61934517; Y = 44.87832484)
55;YoY;1001;275;S;Feeding;8;NA;c(X = 29.61934517; Y = 44.87832484)
56;YoY;818;275;S;Feeding;1;NA;c(X = 29.61934517; Y = 44.87832484)
60;YoY;753;275;W;Feeding;16;NA;c(X = 29.61934517; Y = 44.87832484)
64;YoY;1046;275;S;Feeding;17;NA;c(X = 29.61934517; Y = 44.87832484)
67;YoY;901;275;S;Feeding;19;NA;c(X = 29.61934517; Y = 44.87832484)
69;YoY;813;275;S;Feeding;17;NA;c(X = 29.61934517; Y = 44.87832484)
70;YoY;883;275;S;Feeding;5;NA;c(X = 29.61934517; Y = 44.87832484)
75;YoY;745;275;S;Feeding;21;NA;c(X = 29.61934517; Y = 44.87832484)
78;YoY;595;275;S;Feeding;2;NA;c(X = 29.61934517; Y = 44.87832484)
79;YoY;778;275;S;Feeding;7;NA;c(X = 29.61934517; Y = 44.87832484)
81;YoY;731;275;S;Feeding;19;NA;c(X = 29.61934517; Y = 44.87832484)
83;YoY;933;275;S;Feeding;19;NA;c(X = 29.61934517; Y = 44.87832484)
84;YoY;565;275;S;Feeding;6;NA;c(X = 29.61934517; Y = 44.87832484)
89;YoY;825;275;S;Feeding;12;NA;c(X = 29.61934517; Y = 44.87832484)
94;YoY;837;275;W;Feeding;22;NA;c(X = 29.61934517; Y = 44.87832484)
95;YoY;810;275;S;Feeding;21;NA;c(X = 29.61934517; Y = 44.87832484)
102;YoY;635;275;S;Feeding;10;NA;c(X = 29.61934517; Y = 44.87832484)
104;YoY;832;275;S;Feeding;6;NA;c(X = 29.61934517; Y = 44.87832484)
107;YoY;747;275;S;Feeding;13;NA;c(X = 29.61934517; Y = 44.87832484)
114;YoY;479;275;W;Feeding;14;NA;c(X = 29.61934517; Y = 44.87832484)
115;YoY;867;275;S;Feeding;10;NA;c(X = 29.61934517; Y = 44.87832484)
117;YoY;865;275;S;Feeding;16;NA;c(X = 29.61934517; Y = 44.87832484)
118;YoY;871;275;S;Feeding;15;NA;c(X = 29.61934517; Y = 44.87832484)
122;YoY;979;275;S;Feeding;17;NA;c(X = 29.61934517; Y = 44.87832484)
127;YoY;963;275;S;Feeding;1;NA;c(X = 29.61934517; Y = 44.87832484)
128;YoY;876;275;W;Feeding;11;NA;c(X = 29.61934517; Y = 44.87832484)
129;YoY;996;275;S;Feeding;21;NA;c(X = 29.61934517; Y = 44.87832484)
131;YoY;764;275;W;Feeding;2;NA;c(X = 29.61934517; Y = 44.87832484)
133;YoY;885;275;W;Feeding;22;NA;c(X = 29.61934517; Y = 44.87832484)
